Reference, Value, Footprint, Datasheet
R188,100,MyModules:SM0603-R-JRL,
R201,22K,MyModules:SM0603-R-JRL,
R202,47K,MyModules:SM0603-R-JRL,
R203,22K,MyModules:SM0603-R-JRL,
R186,33K,MyModules:SM0603-R-JRL,
R194,2.2meg,MyModules:SM0603-R-JRL,
C56,0.022μ,MyModules:SM0603-C-JRL,
Q39,MMBT3904,MyModules:SOT23-132-JRL,
Q40,MMBT3906,MyModules:SOT23-132-JRL,
R163,100K,MyModules:SM0603-R-JRL,
C40,0.015μ,MyModules:SM0603-C-JRL,
R154,10K,MyModules:SM0603-R-JRL,
R155,4.7K,MyModules:SM0603-R-JRL,
R152,22K,MyModules:SM0603-R-JRL,
R153,10K,MyModules:SM0603-R-JRL,
U15,4558,MyModules:TSSOP8-JRL,
R162,4.7K,MyModules:SM0603-R-JRL,
D53,1N4148,MyModules:SOD323-C1A2,
Q41,MMBT3904,MyModules:SOT23-132-JRL,
Q42,MMBT3904,MyModules:SOT23-132-JRL,
C38,0.1μ,MyModules:SM0603-C-JRL,
R157,8.2K,MyModules:SM0603-R-JRL,
R158,2.7K,MyModules:SM0603-R-JRL,
R156,1meg,MyModules:SM0603-R-JRL,
R160,22K,MyModules:SM0603-R-JRL,
C39,0.033μ,MyModules:SM0603-C-JRL,
D52,1N4148,MyModules:SOD323-C1A2,
R161,1meg,MyModules:SM0603-R-JRL,
R159,100K,MyModules:SM0603-R-JRL,
Q43,MMBT3904,MyModules:SOT23-132-JRL,
